SIMANN META
17651  93
18026  93
22156  105
22426  105
22454  111
23272  113
23097  111
22377  106
22782  106
22782  106
22462  106
16313  95
17140  99
23135  111
23135  111
24160  111
21065  105
23924  111
12967  93
11375  85
11427  85
9492  80
9281  79
9406  78
8382  78
8534  78
8526  78
5861  65
6862  72
10537  85
10126  85
10299  87
9336  81
5423  71
5423  71
5912  73
5933  73
4801  68
4771  67
3152  60
6145  63
6304  64
7754  61
7790  62
7784  63
7796  65
8059  65
6742  65
6154  60
6146  59
6328  65
5679  60
6819  65
6296  66
9342  74
9495  74
9378  74
9378  74
10718  80
8585  72
10290  78
10290  78
19664  93
19664  93
10290  78
11049  84
13232  92
13232  92
11398  85
13208  94
13043  93
15567  93
15567  93
15567  93
12269  85
12257  85
12199  85
12102  84
12104  85
9252  76
9257  76
9472  75
9548  74
8455  66
7163  61
7163  61
15332  74
15488  74
15488  68
15702  68
15708  68
15089  69
15089  69
15086  69
14100  65
14722  68
15543  75
13980  71
13541  71
13148  65
13664  68
13667  68
13127  68
13127  68
11623  62
11952  62
4123  50
2309  46
3373  51
2582  51
2574  51
3960  53
3960  53
3960  53
3960  53
3960  53
4070  53
1351  47
2977  56
2937  56
4586  59
6765  65
7689  69
8574  69
8709  69
8709  69
7389  65
5583  58
5583  58
7409  65
8464  70
8464  70
8640  77
17761  92
17311  88
17312  88
15031  79
13287  72
12297  67
9329  60
10093  67
10000  62
9932  62
9934  62
14469  69
13697  65
13697  65
15955  73
15690  73
16462  77
14724  73
14724  73
14540  73
14443  73
15649  79
14877  75
15765  81
15205  81
12947  73
14226  77
11441  76
11671  76
12056  85
10022  82
8335  74
8335  74
9093  74
9077  72
9610  72
8620  66
7108  58
6661  56
6661  56
7879  62
9744  69
9514  66
9514  66
9378  66
9394  66
10484  65
11166  65
10844  65
9373  61
9622  62
11540  69
10575  69
10575  69
9391  68
9175  69
9175  69
9089  70
9089  70
9163  68
10510  72
5637  59
4834  53
2291  53
8872  65
8770  65
9941  70
8146  66
7501  62
7501  62
7565  62
8867  68
9450  72
9337  65
8618  64
8175  64
8397  64
8386  64
8386  64
8250  64
8690  64
8706  66
9642  70
9642  70
9234  70
8324  64
8316  63
8306  62
8297  62
6086  53
9705  60
9687  60
10342  64
10294  64
10294  64
11264  72
9307  66
9755  67
4918  58
6935  63
6935  62
12012  71
12971  76
12983  79
12960  79
12960  79
13872  95
13913  95
13983  95
12347  89
7697  80
10311  89
10331  89
14054  98
16714  110
15834  110
16056  110
16056  110
13794  103
13875  103
15794  110
8149  92
9837  98
9049  82
7746  77
7754  77
8529  92
17909  108
17909  108
13243  98
15156  101
15156  101
15216  101
19974  111
14730  97
14233  97
15887  105
15312  104
13642  98
17729  112
18406  113
18369  113
20288  120
15873  110
14131  99
18718  109
17543  100
17543  100
13228  88
13696  94
17599  107
12152  96
12152  96
12152  97
12152  97
8515  85
8477  82
11717  93
11713  92
12130  95
12076  95
16188  105
15263  99
14808  99
15729  105
20290  117
15627  107
15812  107
20365  117
22001  118
24305  119
24305  119
23379  102
24185  118
24185  118
24185  118
22266  111
20705  102
21399  103
17345  90
17349  90
17373  83
17340  83
17340  83
17378  83
17402  87
17402  87
23065  101
14043  87
20649  101
20569  101
20964  101
20964  101
16331  91
16485  91
19333  101
19058  101
20583  111
20600  111
24855  121
24799  121
24835  121
26754  128
25423  127
25251  127
19537  110
19537  110
21535  122
20440  116
19934  116
17454  114
18047  118
15971  111
9006  96
9934  96
11924  103
12168  104
19230  120
19230  120
18575  112
18824  112
19518  112
21407  122
14569  107
24017  125
22054  118
22054  118
16928  105
16518  103
21287  116
21303  116
20422  116
22925  123
22925  123
23002  125
21306  117
17525  105
17529  106
15578  105
15520  105
18162  117
18381  117
16273  111
17759  119
17732  113
17756  118
17487  117
15748  110
14175  102
15556  109
15554  109
15558  109
15534  104
13703  95
15642  103
10687  90
10707  94
7608  81
4628  70
4628  70
4628  70
6165  71
6112  71
5918  71
10449  84
10623  84
6934  75
3223  64
3509  67
7820  77
7820  77
10316  87
13558  99
15118  101
15122  102
15149  102
10919  89
10945  89
16215  105
16223  105
15649  105
15081  105
15073  103
15073  103
20218  116
21112  124
19796  116
15427  104
15472  104
14849  98
12582  91
12341  85
13797  92
13200  90
11879  83
7999  75
4894  63
4949  63
4949  63
4046  58
4046  58
4540  58
4544  59
4742  63
6458  73
7620  79
5655  68
6075  68
9920  76
14204  88
14204  88
16474  95
13584  93
13033  86
16691  97
18108  107
18108  107
18322  107
18282  107
18032  107
20091  116
20892  117
20746  117
11303  98
11303  98
9114  90
6966  82
7471  83
8897  91
11052  98
11062  97
11062  97
21070  115
21072  115
15950  104
10776  92
10651  92
10850  93
10850  93
8580  86
8632  86
8315  86
8295  81
8764  81
8482  81
7916  81
7916  81
8417  85
8246  82
10516  89
11295  90
9319  84
9319  84
9303  84
9704  84
9704  84
9913  87
9920  87
8509  79
9007  81
9022  81
7608  74
7325  73
8177  76
6777  76
5378  70
9923  80
9521  78
10992  86
6466  76
5289  70
4593  62
4591  62
4765  60
6912  60
2389  49
445  41
1244  44
335  43
-1260  37
-1160  37
-1625  27
-2705  22
-3609  18
-3210  14
-2745  13
-2745  13
-2743  13
-1775  17
496  25
2977  30
2977  30
2977  30
4550  36
2977  30
2000  26
403  20
403  20
403  20
-563  16
-563  16
-266  16
1854  21
-266  16
1939  21
3101  25
4793  30
4528  30
1782  25
1782  25
1782  25
1378  25
-1516  19
-3188  12
-3188  12
-3037  12
-3037  12
-3011  12
-3011  12
-3749  7
-3739  7
-3739  7
-2763  10
-2871  10
-2849  10
-2857  10
-2925  10
-2925  10
-2925  10
-4052  7
-4428  7
-4449  7
-4732  8
-4938  6
-4938  6
-4938  6
-4938  6
-4507  8
-4467  8
-4662  6
-4673  8
-4674  8
-4825  6
-5022  6
-4695  6
-4793  6
-4147  5
-5235  8
-5235  8
-5589  9
-5597  8
-4925  12
-4925  12
-4925  12
-4920  12
-5679  6
-6023  8
-6062  8
-6062  8
-6062  8
-6000  8
-5141  12
-5141  12
-5640  13
-5653  11
-5649  10
-5649  10
-5649  10
-5683  10
-4813  9
-4858  10
-4674  10
-4802  10
-4802  10
-4983  10
-4983  10
-5303  11
-4595  10
-4920  6
-4920  6
-4924  6
-4924  6
-5088  3
-5088  3
-5116  3
-5294  2
-5294  2
-5294  2
-5294  2
-5294  2
-4616  1
-4616  1
-4662  1
-4662  1
-5280  2
-5280  2
-5280  2
-5280  2
-5191  2
-5191  2
-5191  2
-5191  2
-5275  2
-5275  2
-5275  2
-5275  2
-5275  2
-5275  2
-5275  2
-5304  2
-5304  2
-5304  2
-5308  2
-5308  2
-5308  2
-5308  2
-5308  2
-5068  2
-5068  2
-5068  2
-5068  2
-5068  2
-5068  2
-5068  2
-5000  2
-5000  2
-5000  2
-4913  2
-4913  2
-4913  2
-4609  1
-4609  1
-4609  1
-4609  1
-4609  1
-4762  1
-4762  1
-4807  1
-4807  1
-4807  1
-4807  1
-4609  1
-4669  1
-4669  1
-4649  1
-4649  1
-4649  1
-4649  1
-4699  1
-4699  1
-4782  1
-4609  1
-4609  1
-4609  1
-5184  2
-5367  4
-5367  4
-5184  2
-5184  2
-5184  2
-5184  2
-4609  1
-4609  1
-4609  1
-4609  1
-4609  1
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-4550  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
-6128  0
